id,Time(days),logscale,org,control,strain,rep1,rep2,rep3,rep4,rep5,rep6,treatment,method,oriSource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,0,FALSE,Pro,TRUE,MIT9215,9.07E+03,1.42E+04,1.28E+04,1.06E+04,1.18E+04,1.15E+04,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,1,FALSE,Pro,TRUE,MIT9215,1.47E+04,1.30E+04,1.80E+04,1.43E+04,1.43E+04,1.69E+04,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,4,FALSE,Pro,TRUE,MIT9215,5.13E+04,5.22E+04,4.58E+04,4.54E+04,5.62E+04,5.43E+04,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,5,FALSE,Pro,TRUE,MIT9215,7.70E+04,8.10E+04,5.53E+04,5.39E+04,8.20E+04,7.93E+04,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,7,FALSE,Pro,TRUE,MIT9215,1.84E+05,1.76E+05,7.56E+04,7.28E+04,1.72E+05,1.79E+05,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,11,FALSE,Pro,TRUE,MIT9215,8.32E+05,8.06E+05,1.60E+05,1.50E+05,8.06E+05,7.95E+05,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,12,FALSE,Pro,TRUE,MIT9215,1.57E+06,1.52E+06,2.07E+05,1.70E+05,1.53E+06,1.51E+06,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,13,FALSE,Pro,TRUE,MIT9215,2.83E+06,2.42E+06,2.74E+05,2.18E+05,2.34E+06,2.53E+06,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,15,FALSE,Pro,TRUE,MIT9215,5.05E+06,5.23E+06,3.90E+05,3.47E+05,5.45E+06,7.13E+06,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4_add,18,FALSE,Pro,TRUE,MIT9215,6.07E+06,4.95E+06,8.34E+05,8.46E+05,4.89E+06,5.54E+06,0,flow,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
