time,rep1,rep2,rep3,rep4,rep5,rep6,Assay,media,log_abundance,log_sigma,strain,organism,
0,9.13E+03,6.82E+03,8.15E+03,8.53E+03,9.36E+03,9.43E+03,week_1,AMP-MN,13.05535656,0.177193449,MIT9215,P,
1,3.51E+03,4.52E+03,3.62E+03,4.21E+03,4.12E+03,3.12E+03,week_1,AMP-MN,11.89803542,0.198343684,MIT9215,P,
2,3.11E+03,2.11E+03,2.31E+03,1.71E+03,2.01E+03,1.81E+03,week_1,AMP-MN,11.05546351,0.30808801,MIT9215,P,
5,4.02E+03,2.71E+03,3.22E+03,2.41E+03,2.21E+03,5.13E+03,week_1,AMP-MN,11.60889678,0.464225369,MIT9215,P,
6,4.00E+03,3.51E+03,2.72E+03,3.62E+03,3.52E+03,3.42E+03,week_1,AMP-MN,11.74800966,0.184149941,MIT9215,P,
8,5.12E+03,7.13E+03,6.64E+03,8.35E+03,8.15E+03,7.34E+03,week_1,AMP-MN,12.77788858,0.255882889,MIT9215,P,
9,1.22E+04,9.53E+03,1.09E+04,1.01E+04,1.02E+04,1.08E+04,week_1,AMP-MN,13.36986534,0.12245555,MIT9215,P,
13,5.70E+04,5.46E+04,6.93E+04,6.61E+04,7.35E+04,7.05E+04,week_1,AMP-MN,15.98236625,0.175111531,MIT9215,P,
14,8.96E+04,9.91E+04,1.12E+05,1.15E+05,1.21E+05,1.17E+05,week_1,AMP-MN,16.72480695,0.166762185,MIT9215,P,
19,3.90E+05,3.93E+05,4.61E+05,4.54E+05,4.34E+05,4.43E+05,week_1,AMP-MN,18.70780699,0.104625216,MIT9215,P,
20,3.96E+05,3.80E+05,4.52E+05,4.52E+05,4.13E+05,4.10E+05,week_1,AMP-MN,18.66706332,0.10131286,MIT9215,P,
23,3.46E+05,3.22E+05,3.46E+05,3.23E+05,3.27E+05,3.12E+05,week_1,AMP-MN,18.32805384,0.060280689,MIT9215,P,
27,2.80E+05,2.89E+05,2.55E+05,2.60E+05,2.58E+05,2.59E+05,week_1,AMP-MN,18.02381619,0.074776618,MIT9215,P,
28,2.64E+05,2.88E+05,2.43E+05,2.45E+05,2.50E+05,2.50E+05,week_1,AMP-MN,17.96680928,0.09256966,MIT9215,P,
0,2.81E+03,3.21E+03,3.42E+03,2.41E+03,1.91E+03,3.11E+03,week_2,AMP-MN,11.42657756,0.314274247,MIT9215,P,
1,1.51E+03,2.11E+03,2.01E+03,2.01E+03,2.31E+03,2.91E+03,week_2,AMP-MN,11.03471075,0.308165819,MIT9215,P,
